url,credibility,description
https://freeworldnews.tv/,low,conspiracy
https://21stcenturywire.com/,low,conspiracy
https://79days.news/,low,conspiracy
https://369news.net/,low,conspiracy
https://911truth.org/,low,conspiracy
https://www.acallforanuprising.com/,low,conspiracy
https://latitudes.org/,low,conspiracy
https://www.activistpost.com/,low,conspiracy
https://www.additudemag.com/,low,conspiracy
https://www.ageofautism.com,low,conspiracy
https://anh-usa.org,low,conspiracy
https://altermedzentrum.com/,low,conspiracy
https://www.thealternativedaily.com/,low,conspiracy
https://www.amtvmedia.com/,low,conspiracy
https://althealthworks.com/,low,conspiracy
https://altleft.news/,low,conspiracy
https://amg-news.com/,low,conspiracy
https://americanpolicy.org/about-us/,low,conspiracy
https://www.americasfrontlinedoctors.com/,low,conspiracy
https://www.ancient-code.com,low,conspiracy
https://www.ancient-origins.net,low,conspiracy
https://anewspost.com/,low,conspiracy
https://anyavien.com/,low,conspiracy
https://www.apost.com/,low,conspiracy
https://www.asia-pacificresearch.com/,low,conspiracy
http://askingangels.com/,low,conspiracy
https://australiannationalreview.com/,low,conspiracy
https://banned.video/,low,conspiracy
https://beholdisrael.org/,low,conspiracy
https://bestnewshere.com/,low,conspiracy
https://biggovernment.news/index.html,low,conspiracy
https://biodefense.com/,low,conspiracy
https://biologos.org/,low,conspiracy
http://www.biotechexpressmag.com/,low,conspiracy
https://www.blacklistednews.com/,low,conspiracy
https://bonsens.info/,low,conspiracy
https://brandnewtube.com/,low,conspiracy
https://www.brighteon.com/,low,conspiracy
https://brightside.me/,low,conspiracy
https://bugout.news/#,low,conspiracy
https://campusinsanity.com/,low,conspiracy
https://cancer.news/,low,conspiracy
https://www.catholic.org/,low,conspiracy
https://www.charismanews.com/,low,conspiracy
https://childrenshealthdefense.org/,low,conspiracy
https://chlorellafactor.com/,low,conspiracy
http://www1.cbn.com,low,conspiracy
http://www.legitgov.org/,low,conspiracy
https://www.climatedepot.com/,low,conspiracy
https://climatism.blog,low,conspiracy
https://climate.news/,low,conspiracy
https://cnnsofake.news/,low,conspiracy
https://www.coasttocoastam.com/,low,conspiracy
https://collapse.news/,low,conspiracy
https://www.cfact.org,low,conspiracy
https://consciouslifenews.com/,low,conspiracy
https://consumerwellness.org/,low,conspiracy
https://counterthink.com/,low,conspiracy
https://dailyhealthpost.com,low,conspiracy
https://dailysceptic.org/,low,conspiracy
https://www.discovery.org/,low,conspiracy
https://disobedientmedia.com/,low,conspiracy
https://distributednews.com/,low,conspiracy
https://www.doctoroz.com/,low,conspiracy
https://doctors4covidethics.org/,low,conspiracy
https://www.drnorthrup.com/,low,conspiracy
https://www.ecology.news/,low,conspiracy
https://educateinspirechange.org/us/,low,conspiracy
https://electroverse.net/,low,conspiracy
https://eugenics.news/,low,conspiracy
https://evolutionnews.org/,low,conspiracy
https://fabiosa.com/,low,conspiracy
https://faithit.com/,low,conspiracy
https://food.news/,low,conspiracy
https://www.freedomadvocates.org,low,conspiracy
https://freedomainradio.com/,low,conspiracy
https://freedom.news/,low,conspiracy
https://freeworldnews.tv/,low,conspiracy
https://fromthetrenchesworldreport.com/,low,conspiracy
http://covid19criticalcare.com,low,conspiracy
https://www.gaia.com/,low,conspiracy
https://geoengineering.news/,low,conspiracy
https://www.getholistichealth.com/,low,conspiracy
https://glitch.news/,low,conspiracy
https://www.globalresearch.ca/,low,conspiracy
https://gmowatch.com/are-genetically-modified-foods-safe-to-eat/,low,conspiracy
https://gmwatch.org/,low,conspiracy
https://www.godlikeproductions.com/,low,conspiracy
https://goop.com/,low,conspiracy
https://www.greenmedinfo.com/,low,conspiracy
https://www.greenpeace.org/,low,conspiracy
https://healthandmoneynews.wordpress.com/,low,conspiracy
