url,credibility,description
https://604now.com/,high,right-center
https://972mag.com/,high,right-center
https://abcnews.go.com,high,right-center
https://www.abc.net.au,high,right-center
https://abc11.com/,high,right-center
https://abovethelaw.com/,high,right-center
https://www.aceshowbiz.com/,high,right-center
https://africanarguments.org/,high,right-center
https://www.africanews.com/,high,right-center
https://ahvalnews.com/,high,right-center
https://www.beaconjournal.com/,high,right-center
https://www.aljazeera.com/,high,right-center
https://www.al-monitor.com/,high,right-center
https://www.timesunion.com/,high,right-center
https://albertaviews.ca,high,right-center
https://www.americamagazine.org/,high,right-center
https://www.americanimmigrationcouncil.org,high,right-center
https://www.americanpublicmedia.org,high,right-center
https://www.americanpurpose.com/,high,right-center
https://www.adl.org,high,right-center
https://www.apple.com/apple-news/,high,right-center
https://www.aptnnews.ca/,high,right-center
https://areomagazine.com,high,right-center
https://www.azcentral.com,high,right-center
https://www.armscontrol.org,high,right-center
https://www.arte.tv/,high,right-center
https://www.citizen-times.com/,high,right-center
https://www.asiasentinel.com/,high,right-center
https://aspeniaonline.it/,high,right-center
https://www.aspeninstitute.org/,high,right-center
https://atlantablackstar.com/,high,right-center
https://www.ajc.com/,high,right-center
https://www.theatlantic.com/,high,right-center
https://www.atlanticmedia.com/,high,right-center
https://www.attn.com/,high,right-center
https://www.statesman.com/,high,right-center
https://www.austindailyherald.com/,high,right-center
https://www.avclub.com/,high,right-center
https://balkaninsight.com/,high,right-center
https://www.baltimoresun.com/,high,right-center
https://bangordailynews.com/,high,right-center
https://baptistnews.com/,high,right-center
https://www.barrietoday.com/,high,right-center
https://baynature.org/,high,right-center
https://www.bbc.com/news,high,right-center
https://www.bellinghamherald.com/,high,right-center
https://www.berkeleyside.com/,high,right-center
https://www.berkshireeagle.com/,high,right-center
https://www.berliner-zeitung.de/,high,right-center
https://www.birminghammail.co.uk,high,right-center
https://www.blackenterprise.com/,high,right-center
https://blackpressusa.com/,high,right-center
https://bleacherreport.com/,high,right-center
https://www.boston.com/,high,right-center
https://www.bramptonguardian.com,high,right-center
https://thebulletin.org/,high,right-center
https://www.buzzfeednews.com/,high,right-center
https://bylinetimes.com/,high,right-center
https://www.canadaland.com/,high,right-center
https://www.capitalgazette.com/,high,right-center
https://carnegieendowment.org/,high,right-center
https://carolinapublicpress.org/,high,right-center
http://www.catchnews.com,high,right-center
https://www.cbc.ca/news,high,right-center
https://boston.cbslocal.com/,high,right-center
https://www.cbsnews.com,high,right-center
https://newyork.cbslocal.com/,high,right-center
https://seattle.cbslocal.com/,high,right-center
https://censor.net/ru/about,high,right-center
https://www.cgdev.org/,high,right-center
https://centerforinquiry.org,high,right-center
https://www.internationalpolicy.org/,high,right-center
https://www.cnas.org/,high,right-center
https://www.cbpp.org/,high,right-center
http://focustaiwan.tw/,high,right-center
https://www.chalkbeat.org/,high,right-center
https://www.channel4.com/news/,high,right-center
https://www.charlotteobserver.com,high,right-center
https://chicago.suntimes.com/,high,right-center
https://chinaafricaproject.com/,high,right-center
https://www.citylab.com/,high,right-center
http://www.citypages.com/,high,right-center
https://www.cityandstateny.com/,high,right-center
https://www.clarionledger.com/,high,right-center
https://www.cnbc.com/,high,right-center
https://www.cjr.org/,high,right-center
https://www.dispatch.com/,high,right-center
https://www.commonwealthfund.org/,high,right-center
https://www.complex.com/,high,right-center
https://www.ctpost.com,high,right-center
https://constitutionproject.org/,high,right-center
https://www.caller.com,high,right-center
https://www.dailycommercial.com/,high,right-center
https://www.gazettenet.com,high,right-center
https://www.mirror.co.uk,high,right-center
https://nation.africa/,high,right-center
