url,credibility,description
airspacemag.com,high,pro science
allianceforscience.cornell.ed,high,pro science
aaas.or,high,pro science
cancer.org,high,pro science
agu.org,high,pro science
ajaonline.org,high,pro science
lung.org,high,pro science
ama-assn.org,high,pro science
aps.org,high,pro science
apa.org,high,pro science
americanscientist.org,high,pro science
archaeology.org,high,pro science
astronomy.com,high,pro science
skeptics.com.au,high,pro science
biomedcentral.co,high,pro science
biospace.com,high,pro science
carbonbrief.org,high,pro science
climatefeedback.org,high,pro science
cochrane.org,high,pro science
disabilityscoop.com,high,pro science
discovermagazine.com,high,pro science
drugs.com,high,pro science
britannica.com,high,pro science
eurekalert.or,high,pro science
everydayhealth.co,high,pro science
frontiersin.org/journals/psychology,high,pro science
genengnews.co,high,pro science
healio.com,high,pro science
healthfeedback.org,high,pro science
ieee.org,high,pro science
healthdata.org,high,pro science
issues.org,high,pro science
web.randi.org,high,pro science
jstor.org,high,pro science
livescience.com,high,pro science
medpagetoday.com,high,pro science
medscape.com,high,pro science
mentaldaily.com,high,pro science
nationalgeographic.co,high,pro science
nature.co,high,pro science
nautil.us,high,pro science
neurosciencenews.com,high,pro science
newatlas.com,high,pro science
nejm.org,high,pro science
news-medical.net,high,pro science
oceana.org,high,pro science
paho.org/e,high,pro science
phys.or,high,pro science
popsci.com,high,pro science
precisionvaccinations.co,high,pro science
pnas.org,high,pro science
psychcentral.com,high,pro science
psypost.org,high,pro science
pubmed.ncbi.nlm.nih.gov,high,pro science
us.sagepub.com/en-us/nam/journ%C3%A1l,high,pro science
scicentral.com,high,pro science
science.org/journal/sciad,high,pro science
scienceblogs.com,high,pro science
sciencedirect.co,high,pro science
sciencefeedback.co,high,pro science
scienceillustrated.com.au,high,pro science
science.org/journal/sciimmuno,high,pro science
science.org,high,pro science
science.org/journal/scirobotic,high,pro science
science.org/journal/signalin,high,pro science
science.org/journal/st,high,pro science
sciencealert.co,high,pro science
scitechdaily.com,high,pro science
seeker.com,high,pro science
skeptic.com,high,pro science
skepticalinquirer.org,high,pro science
skepticalraptor.co,high,pro science
skepticalscience.com,high,pro science
skyandtelescope.org,high,pro science
smithsonianmag.co,high,pro science
space.com,high,pro science
thelancet.com,high,pro science
thelogicofscience.com,high,pro science
the-scientist.com,high,pro science
unep.org,high,pro science
ornl.gov,high,pro science
vaxopedia.or,high,pro science
verywellfamily.com,high,pro science
webmd.com,high,pro science
