url,credibility,description
https://7news.com.au/,high,right-center
https://www.9news.com.au/,high,right-center
https://www.19fortyfive.com/,high,right-center
http://www.abc.es,high,right-center
https://www.theadvocates.org/,high,right-center
http://english.ahram.org.eg/,high,right-center
https://www.al.com/,high,right-center
https://altoday.com/,high,right-center
https://www.abqjournal.com/,high,right-center
https://aleteia.org,high,right-center
https://www.americanactionforum.org/,high,right-center
https://americanaffairsjournal.org,high,right-center
https://www.acsh.org,high,right-center
https://www.americanfirearms.org/,high,right-center
https://aier.org,high,right-center
https://americanmilitarynews.com,high,right-center
https://www.americasquarterly.org/,high,right-center
https://angusreid.org/,high,right-center
https://www.antiwar.com,high,right-center
https://hk.appledaily.com/,high,right-center
https://www.arcamax.com/,high,right-center
https://www.argusleader.com,high,right-center
http://www.arkansasonline.com/,high,right-center
https://www.israelnationalnews.com/,high,right-center
https://aawsat.com/english/,high,right-center
https://www.aninews.in,high,right-center
https://www.atlanticcouncil.org,high,right-center
https://newideal.aynrand.org/,high,right-center
https://www.bangkokpost.com/,high,right-center
https://www.barrons.com,high,right-center
https://www.beavercreeknewscurrent.com/,high,right-center
https://beinglibertarian.com/,high,right-center
https://www.berlingske.dk/,high,right-center
https://www.bild.de/,high,right-center
https://billingsgazette.com/,high,right-center
https://bipartisanpolicy.org,high,right-center
http://www.bnr.nl,high,right-center
https://www.boomlive.in/,high,right-center
https://www.bostonherald.com/,high,right-center
https://breakingdefense.com/,high,right-center
https://thebreakthrough.org,high,right-center
https://www.bt.dk/,high,right-center
http://www.batimes.com.ar,high,right-center
https://www.businesslive.co.za,high,right-center
https://www.business-standard.com/,high,right-center
https://calgaryherald.com,high,right-center
https://californiaglobe.com/,high,right-center
http://www.capoliticalreview.com/,high,right-center
http://campaignforliberty.org/,high,right-center
https://thecjn.ca/,high,right-center
http://www.taxpayer.com/,high,right-center
https://www.capitalismmagazine.com/,high,right-center
https://www.cato.org/,high,right-center
https://www.ccn.com,high,right-center
http://cftni.org/,high,right-center
