url,credibility
il-quotidiano.info,low
terrarealtime.blogspot.com,low
it.sputniknews.com,low
laverita.info,low
liberoquotidiano.it,low
lavocedelpatriota.it,low
viralmagazine.it,low
imolaoggi.it,low
ilprimatonazionale.it,low
skytg24news.it,low
ununiverso.it,low
tankerenemy.com,low
tmcrew.org,low
pandoratv.it,low
nibiru2012.it,low
liberamenteservo.com,low
libreidee.org,low
ilpuntosulmistero.it,low
hackthematrix.it,low
filosofiaelogos.it,low
effervescienza.org,low
ecplanet.org,low
disinformazione.it,low
conoscenzealconfine.it,low
ilfattoquotidaino.it,low
siamonapoletani.org,low
corrieredelcorsaro.it,low
pianetax.wordpress.com,low
olivieromannucci.blogspot.com,low
neovitruvian.wordpress.com,low
madreterra.myblog.it,low
laveritadininconaco.altervista.org,low
ilsapereepotere2.blogspot.com,low
freeondarevolution.wordpress.com,low
compressamente.blogspot.com,low
aurorasito.wordpress.com,low
altrarealta.blogspot.com,low
accademiadellaliberta.blogspot.com,low
webtg24.com,low
voxnews.info,low
noidiminerva.it,high
tuttiicriminidegliimmigrati.com,low
tg24-ore.com,low
superquark.rai.it,high
saper-link-news.com,low
leganerd.com,high
sostenitori.info,low
silenziefalsita.it,low
lonesto.it,low
medicisenzafrontiere.it,high
avvenire.it,high
italianosveglia.com,low
today.it,high
jedanews.it,low
scetticamente.it,high
iltempo.it,high
informazionelibera.eu,low
adnkronos.com,high
informarexresistere.fr,low
lettera43.it,high
home.infn.it,high
infn.it,high
agi.it,high
il-giornale.info,low
ilpost.it,high
essere-informati.it,low
rainews.it,high
direttanews24.com,low
galileonet.it,high
ilgazzettino.it,high
comedonchisciotte.org,low
scienzainrete.it,high
verascienza.com,high
tg24.sky.it,high
byoblu.com,low
nanopress.it,high
breaknotizie.com,low
lescienze.it,high
ilmattino.it,high
5stellenews.com,low
leggo.it,high
interagisco.net,low
scienze-naturali.it,high
quotidiano.net,high
lettoquotidiano.it,low
liberascienza.it,high
huffingtonpost.it,high
ilvostropensiero.it,low
ilsole24ore.com,high
catenaumana.it,low
lastampa.it,high
adessobasta.org,low
ilgiornale.it,high
ansa.it,high
daily-screen.com,low
fanpage.it,high
zapping2017.myblog.it,low
coelum.com,high
ilfattoquotidiano.it,high
skynew.it,low
gravitzero.com,high
ilmessaggero.it,high
mondodiannunci.com,low
queryonline.it,high
tgcom24.mediaset.it,high
ilmessangero.it,low
oggiscienza.it,high
corriere.it,high
notiziarioromacapitale.blogspot.com,low
cicap.org,high
repubblica.it,high
mag24.es,low
scientificast.it,high
corvelva.it,low
zazoom.it,low
laseroffice.it,low
lanuovabq.it,low
dianalanciotti.it,low
informazione.it,high
cdt.ch,high
open.online,high
startmag.it,high
aifa.gov.it,high
lercio.it,low
playhitmusic.it,low
scenarieconomici.it,low
rassegneitalia.info,low
salernonotizie.it,low
va.newsrepublic.net,low
money.it,high
stopcensura.online,low
radioradio.it,low
renovatio21.com,low
numero6.org,low
abruzzoweb.it,low
rai.it,high
maurizioblondet.it,low
laforzadellaverita.com,low
linkiesta.it,high
pinomerola.com,low
wired.it,high
novanews24.altervista.org,low
ilfoglio.it,high
opiniapublica.info,low
affaritaliani.it,high
notiziedi.it,high
ziare.com,low
tigulliomagazine.wordpress.com,low
quotidianopiemontese.it,high
la7.it,high
tio.ch,high
unionesarda.it,high
nicolaporro.it,low
a.msn.com,high
gospanews.net,low
ilmanifesto.it,high
csera.it,high
maurizioblondet.it,low
databaseitalia.it,low
lanotiziagiornale.it,high
corrierequotidiano.it,high
occhionotizie.it,high
sadefenza.org,low
infermieristicamente.it,high
quifinanza.it,high
lantidiplomatico.it,low
lanazione.it,high
ilriformista.it,high
grandeinganno.it,low
rumble.com,low
humansarefree.com,low
quotidianosanita.it,high
weser-kurier.de,high
corrieredellumbria.corr.it,high
epochtimes.de,low
blog-news.it,low
butac.it,high
pagellapolitica.it,high
salute.gov.it,high
recnews.it,low
ogginotizie.info,low
stiripesurse.ro,low
tecnicadellascuola.it,high
napolimagazine.com,low
valigiablu.it,high
controinformazione.info,low
saluteh24.com,low
ilgiorno.it,high
secoloditalia.it,high
it.euronews.com,high
infosec.news,high
ema.europa.eu,high
see.news,high
italiaviva.it,high
ottopagine.it,high
albertocallequotidianopolitico.blogspot.com,low
blogsicilia.it,low
beppegrillo.it,high
agenzianova.com,high
iltirreno.gelocal.it,high
cosenzachannel.it,high
anteprima24.it,high
farodiroma.it,low
alfiokrancic.com,low
detoxed.info,low
kulturjam.it,high
salutelazio.it,high
tg.la7.it,high
lagazzettadelmezzogiorno.it,high
tpi.it,high
nursetimes.org,high
congedatifolgore.com,high
francescoamodeo.it,low
it.insideover.com,high
smorfiadigitale.it,low
vatican.va,high
editorialedomani.it,high
ilsecoloxix.it,high
rt.com,high
lapresse.it,high
medicinapiccoledosi.it,low
www.ilsussidiario.net,high
gds.it,high
vivereinsardegna.it,low
dire.it,high
it.aleteia.org,high
ilrestodelcarlino.it,high
fai.informazione.it,low
citymilano.com,low
assocarenews.it,high
welfarenetwork.it,high
dagospia.com,low
vivereinmodonaturale.com,low
informaresenzacensure.blogspot.com,low
vaccinivogliamoverita.it,low
informasalus.it,low
mednat.org,low
laviadiuscita.net,low
nardellamichele.blogspot.com,low
lalucedimaria.it,low
stopcensura.org,low
stopcensura.info,low
ilpopulista.it,low
segnidalcielo.it,low
ambientebio.it,low
infosannio.com,low
jedanews.com,low
lacrunadellago.net,low
notizie-donna.it,low
autismovaccini.org,low
nogeoingegneria.com,low
fanmagazine.it,low
fonteverificata.it,low
giuliotarro.it,low
ilariabifarini.com,low
mednat.news,low
freeworldnews.tv,low
21stcenturywire.com,low
79days.news,low
369news.net,low
911truth.org,low
acallforanuprising.com,low
latitudes.org,low
activistpost.com,low
additudemag.com,low
ageofautism.co,low
anh-usa.or,low
altermedzentrum.com,low
thealternativedaily.com,low
amtvmedia.com,low
althealthworks.com,low
altleft.news,low
amg-news.com,low
americanpolicy.org/about-us,low
americasfrontlinedoctors.com,low
ancient-code.co,low
ancient-origins.ne,low
anewspost.com,low
anyavien.com,low
apost.com,low
asia-pacificresearch.com,low
askingangels.com,low
australiannationalreview.com,low
banned.video,low
beholdisrael.org,low
bestnewshere.com,low
biggovernment.news/index.htm,low
biodefense.com,low
biologos.org,low
biotechexpressmag.com,low
blacklistednews.com,low
bonsens.info,low
brandnewtube.com,low
brighteon.com,low
brightside.me,low
bugout.news/,low
campusinsanity.com,low
cancer.news,low
catholic.org,low
charismanews.com,low
childrenshealthdefense.org,low
chlorellafactor.com,low
cbn.co,low
legitgov.org,low
climatedepot.com,low
climatism.blo,low
climate.news,low
cnnsofake.news,low
coasttocoastam.com,low
collapse.news,low
cfact.or,low
consciouslifenews.com,low
consumerwellness.org,low
counterthink.com,low
dailyhealthpost.co,low
dailysceptic.org,low
discovery.org,low
disobedientmedia.com,low
distributednews.com,low
doctoroz.com,low
doctors4covidethics.org,low
drnorthrup.com,low
ecology.news,low
educateinspirechange.org/us,low
electroverse.net,low
eugenics.news,low
evolutionnews.org,low
fabiosa.com,low
faithit.com,low
food.news,low
freedomadvocates.or,low
freedomainradio.com,low
freedom.news,low
fromthetrenchesworldreport.com,low
covid19criticalcare.co,low
gaia.com,low
geoengineering.news,low
getholistichealth.com,low
glitch.news,low
globalresearch.ca,low
gmowatch.com,low
gmwatch.org,low
